timestamp,port,url,input,title,scheme,webserver,content_type,method,host,path,time,a,aaaa,cname,tech,words,lines,status_code,content_length,failed,cdn_name,cdn_type,cdn,final_url,resolvers,body_preview
2026-03-02T09:00:07.000000+00:00,80,http://www.example.com:80,http://www.example.com:80,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:80/,"[""203.0.113.1:53""]",
2026-03-02T09:00:14.000000+00:00,2052,http://www.example.com:2052,http://www.example.com:2052,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:2052/,"[""203.0.113.1:53""]",
2026-03-02T09:00:21.000000+00:00,2082,http://www.example.com:2082,http://www.example.com:2082,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:2082/,"[""203.0.113.1:53""]",
2026-03-02T09:00:28.000000+00:00,2086,http://www.example.com:2086,http://www.example.com:2086,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:2086/,"[""203.0.113.1:53""]",
2026-03-02T09:00:35.000000+00:00,2095,http://www.example.com:2095,http://www.example.com:2095,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:2095/,"[""203.0.113.1:53""]",
2026-03-02T09:00:42.000000+00:00,8080,http://www.example.com:8080,http://www.example.com:8080,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:8080/,"[""203.0.113.1:53""]",
2026-03-02T09:00:49.000000+00:00,8880,http://www.example.com:8880,http://www.example.com:8880,Example Corp — Home,http,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,http://www.example.com:8880/,"[""203.0.113.1:53""]",
2026-03-02T09:00:56.000000+00:00,443,https://www.example.com:443,https://www.example.com:443,Example Corp — Home,https,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,https://www.example.com:443/,"[""203.0.113.1:53""]",
2026-03-02T09:01:03.000000+00:00,2053,https://www.example.com:2053,https://www.example.com:2053,Example Corp — Home,https,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,https://www.example.com:2053/,"[""203.0.113.1:53""]",
2026-03-02T09:01:10.000000+00:00,2083,https://www.example.com:2083,https://www.example.com:2083,Example Corp — Home,https,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,https://www.example.com:2083/,"[""203.0.113.1:53""]",
2026-03-02T09:01:17.000000+00:00,2087,https://www.example.com:2087,https://www.example.com:2087,Example Corp — Home,https,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,https://www.example.com:2087/,"[""203.0.113.1:53""]",
2026-03-02T09:01:24.000000+00:00,2096,https://www.example.com:2096,https://www.example.com:2096,Example Corp — Home,https,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,https://www.example.com:2096/,"[""203.0.113.1:53""]",
2026-03-02T09:01:31.000000+00:00,8443,https://www.example.com:8443,https://www.example.com:8443,Example Corp — Home,https,cloudflare,text/html,GET,www.example.com,/,241.5ms,"[""198.51.100.1""]",,"[""www.example.com.cdn.cloudflare.net""]",,120,20,200,1024,false,cloudflare,waf,true,https://www.example.com:8443/,"[""203.0.113.1:53""]",
2026-03-02T09:01:38.000000+00:00,2053,http://shop.example.com:2053,http://shop.example.com:2053,400 The plain HTTP request was sent to HTTPS port,http,cloudflare,text/html,GET,shop.example.com,/,241.5ms,"[""198.51.100.2""]",,,,120,20,400,1024,false,cloudflare,waf,true,http://shop.example.com:2053/,"[""203.0.113.1:53""]",
2026-03-02T09:01:45.000000+00:00,2083,http://shop.example.com:2083,http://shop.example.com:2083,400 The plain HTTP request was sent to HTTPS port,http,cloudflare,text/html,GET,shop.example.com,/,241.5ms,"[""198.51.100.2""]",,,,120,20,400,1024,false,cloudflare,waf,true,http://shop.example.com:2083/,"[""203.0.113.1:53""]",
